level,hanja,mean,pron,hms
7ii,家,집,가,집 가
7__,歌,노래,가,노래 가
5ii,價,값,가,값 가
5__,加,더할,가,더할 가
5__,可,옳을,가,옳을 가
4ii,假,거짓,가,거짓 가
4ii,街,거리,가,거리 가
4__,暇,틈/겨를,가,틈/겨를 가
3ii,佳,아름다울,가,아름다울 가
3ii,架,시렁,가,시렁 가
6ii,各,각각,각,각각 각
6ii,角,뿔,각,뿔 각
4__,刻,새길,각,새길 각
4__,覺,깨달을,각,깨달을 각
3ii,脚,다리,각,다리 각
3ii,閣,집,각,집 각
3__,却,물리칠,각,물리칠 각
7ii,間,사이,간,사이 간
4__,簡,대쪽/간략할,간,대쪽/간략할 간
4__,看,볼,간,볼 간
4__,干,방패,간,방패 간
3ii,刊,새길,간,새길 간
3ii,幹,줄기,간,줄기 간
3ii,懇,간절할,간,간절할 간
3ii,肝,간,간,간 간
3__,姦,간음할,간,간음할 간
3__,渴,목마를,갈,목마를 갈
6__,感,느낄,감,느낄 감
4ii,減,덜,감,덜 감
4ii,監,볼,감,볼 감
4__,甘,달,감,달 감
4__,敢,감히/구태여,감,감히/구태여 감
3ii,鑑,거울,감,거울 감
4__,甲,갑옷,갑,갑옷 갑
7ii,江,강,강,강 강
6__,強,강할,강,강할 강
4ii,講,욀,강,욀 강
4ii,康,편안,강,편안 강
4__,降,내릴,강,내릴 강|항복할 항
3ii,剛,굳셀,강,굳셀 강
3ii,綱,벼리,강,벼리 강
3ii,鋼,강철,강,강철 강
6__,開,열,개,열 개
5__,改,고칠,개,고칠 개
4ii,個,낱,개,낱 개
3ii,槪,대개,개,대개 개
3ii,介,낄,개,낄 개
3ii,蓋,덮을,개,덮을 개
3__,皆,다,개,다 개
3__,慨,슬퍼할,개,슬퍼할 개
5ii,客,손,객,손 객
7ii,車,수레,거,수레 거|수레 차
5__,擧,들,거,들 거
5__,去,갈,거,갈 거
4__,拒,막을,거,막을 거
4__,居,살,거,살 거
4__,據,근거,거,근거 거
4__,巨,클,거,클 거
3ii,距,상거할,거,상거할 거
5__,件,물건,건,물건 건
5__,建,세울,건,세울 건
5__,健,굳셀,건,굳셀 건
3ii,乾,하늘/마를,건,하늘/마를 건
4__,傑,뛰어날,걸,뛰어날 걸
3__,乞,빌,걸,빌 걸
4ii,檢,검사할,검,검사할 검
4__,儉,검소할,검,검소할 검
3ii,劍,칼,검,칼 검
5ii,格,격식,격,격식 격
4__,擊,칠,격,칠 격
4__,激,격할,격,격할 격
3ii,隔,사이뜰,격,사이뜰 격
5ii,見,볼,견,볼 견|뵈올 현
4__,堅,굳을,견,굳을 견
4__,犬,개,견,개 견
3__,遣,보낼,견,보낼 견
3__,肩,어깨,견,어깨 견
3__,絹,비단,견,비단 견
3__,牽,이끌/끌,견,이끌/끌 견
5ii,結,맺을,결,맺을 결
5ii,決,결단할,결,결단할 결
4ii,潔,깨끗할,결,깨끗할 결
4ii,缺,이지러질,결,이지러질 결
3ii,訣,이별할,결,이별할 결
3ii,兼,겸할,겸,겸할 겸
3ii,謙,겸손할,겸,겸손할 겸
6__,京,서울,경,서울 경
5ii,敬,공경,경,공경 경
5__,輕,가벼울,경,가벼울 경
5__,競,다툴,경,다툴 경
5__,景,볕,경,볕 경
4ii,境,지경,경,지경 경
4ii,經,지날/글,경,지날/글 경
4ii,警,깨우칠,경,깨우칠 경
4ii,慶,경사,경,경사 경
4__,驚,놀랄,경,놀랄 경
4__,更,고칠,경,고칠 경|다시 갱
4__,傾,기울,경,기울 경
4__,鏡,거울,경,거울 경
3ii,頃,이랑/잠깐,경,이랑/잠깐 경
3ii,徑,지름길/길,경,지름길/길 경
3ii,硬,굳을,경,굳을 경
3ii,耕,밭갈,경,밭갈 경
3__,卿,벼슬,경,벼슬 경
3__,庚,별,경,별 경
3__,竟,마침내,경,마침내 경
6ii,界,지경,계,지경 계
6ii,計,셀,계,셀 계
4ii,係,맬,계,맬 계
4__,階,섬돌,계,섬돌 계
4__,鷄,닭,계,닭 계
4__,季,계절,계,계절 계
4__,系,이어맬,계,이어맬 계
4__,繼,이을,계,이을 계
4__,戒,경계할,계,경계할 계
3ii,契,맺을,계,맺을 계
3ii,桂,계수나무,계,계수나무 계
3ii,啓,열,계,열 계
3ii,溪,시내,계,시내 계
3ii,械,기계,계,기계 계
3__,繫,맬,계,맬 계
3__,癸,북방/천간,계,북방/천간 계
6ii,高,높을,고,높을 고
6__,古,예,고,예 고
6__,苦,쓸,고,쓸 고
5ii,告,고할,고,고할 고
5__,考,생각할,고,생각할 고
5__,固,굳을,고,굳을 고
4ii,故,연고,고,연고 고
